09/26 12:23:14.630 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/hardware/{secret_key}] onto handler 'buMonitorController'
09/26 12:23:14.631 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/hardware/{secret_key}.*] onto handler 'buMonitorController'
09/26 12:23:14.631 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/hardware/{secret_key}/] onto handler 'buMonitorController'
09/26 12:23:14.631 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/menus/{secret_key}] onto handler 'buMonitorController'
09/26 12:23:14.631 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/menus/{secret_key}.*] onto handler 'buMonitorController'
09/26 12:23:14.631 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/monitor/menus/{secret_key}/] onto handler 'buMonitorController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/get/{secret_key}/{type}] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/get/{secret_key}/{type}.*] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/get/{secret_key}/{type}/] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/put/{secret_key}/{type}] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/put/{secret_key}/{type}.*] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/put/{secret_key}/{type}/] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/download/{secret_key}] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/download/{secret_key}.*] onto handler 'buShareFileController'
09/26 12:23:14.633 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/share/download/{secret_key}/] onto handler 'buShareFileController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/scan] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/scan.*] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/scan/] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/start] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/start.*] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/start/] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/stop] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/stop.*] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/ftp/stop/] onto handler 'buTestController'
09/26 12:23:14.635 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/bu_test/callback] onto handler 'buTestController'
